TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,2.500,NULL,0
14.5000,6.000,LOSS,2
20.5000,2.000,NULL,0
22.5000,6.000,LOSS,2
28.5000,1.500,NULL,0
30.0000,6.000,LOSS,2
36.0000,2.000,NULL,0
38.0000,6.000,WIN,1
44.0000,3.000,NULL,0
47.0000,6.000,LOSS,2
53.0000,4.500,NULL,0
57.5000,6.000,LOSS,2
63.5000,1.500,NULL,0
65.0000,6.000,LOSS,2
71.0000,2.000,NULL,0
73.0000,6.000,LOSS,2
79.0000,2.000,NULL,0
81.0000,6.000,WIN,1
87.0000,1.500,NULL,0
88.5000,6.000,WIN,1
94.5000,2.500,NULL,0
97.0000,6.000,WIN,1
103.0000,3.500,NULL,0
106.5000,6.000,WIN,1
112.5000,2.000,NULL,0
114.5000,6.000,WIN,1
120.5000,2.500,NULL,0
123.0000,6.000,LOSS,2
129.0000,1.500,NULL,0
130.5000,6.000,WIN,1
136.5000,2.500,NULL,0
139.0000,6.000,LOSS,2
145.0000,1.500,NULL,0
146.5000,6.000,LOSS,2
152.5000,2.500,NULL,0
155.0000,6.000,WIN,1
161.0000,1.500,NULL,0
162.5000,6.000,WIN,1
168.5000,4.500,NULL,0
173.0000,6.000,WIN,1
179.0000,2.000,NULL,0
181.0000,6.000,WIN,1
187.0000,2.500,NULL,0
189.5000,6.000,WIN,1
195.5000,1.500,NULL,0
197.0000,6.000,LOSS,2
203.0000,2.000,NULL,0
205.0000,6.000,WIN,1
211.0000,3.500,NULL,0
214.5000,6.000,LOSS,2
220.5000,4.500,NULL,0
