sub,ses,block,JitterNum,TrailNumTotal,DoorsAppearTimeTotal,Response,ResponceTimeTotal,Contrasts,FeedbackAppearTimeTotal,JitterTimeDur
001, 1, 1, 2,1,6,3,8,Loss,9,3.5
001, 1, 1, 2,2,15,2,16,Win,19,2.0
001, 1, 1, 2,3,23,3,26,Win,27,1.5
001, 1, 1, 2,4,31,2,31,Loss,34,1.5
001, 1, 1, 2,5,38,3,40,Loss,42,2.5
001, 1, 1, 2,6,47,2,49,Loss,50,1.5
001, 1, 1, 2,7,54,2,57,Loss,58,3.0
001, 1, 1, 2,8,63,2,64,Win,67,3.0
001, 1, 1, 2,9,72,2,73,Loss,76,1.5
001, 1, 1, 2,10,80,2,82,Win,83,2.0
001, 1, 1, 2,11,88,2,90,Loss,91,1.5
001, 1, 1, 2,12,95,NaN,NaN,Win,99,2.0
001, 1, 1, 2,13,103,NaN,NaN,Loss,107,1.5
001, 1, 1, 2,14,111,2,112,Loss,114,2.5
001, 1, 1, 2,15,119,3,119,Loss,123,2.0
001, 1, 1, 2,16,127,NaN,NaN,Win,131,3.5
001, 1, 1, 2,17,137,2,138,Loss,140,3.0
001, 1, 1, 2,18,146,2,147,Win,149,1.5
001, 1, 1, 2,19,153,NaN,NaN,Loss,157,2.0
001, 1, 1, 2,20,161,2,162,Win,165,1.5
001, 1, 1, 2,21,169,3,171,Win,172,2.0
001, 1, 1, 2,22,177,2,178,Win,180,1.5
001, 1, 1, 2,23,184,NaN,NaN,Loss,188,1.5
001, 1, 1, 2,24,192,3,194,Win,195,3.0
001, 1, 1, 2,25,201,2,203,Win,204,1.5
001, 1, 1, 2,26,208,3,211,Win,212,10.5
001, 1, 2, 3,27,231,2,233,Loss,234,2.5
001, 1, 2, 3,28,239,2,242,Win,243,1.5
001, 1, 2, 3,29,247,2,247,Loss,250,3.5
001, 1, 2, 3,30,256,3,259,Win,260,2.0
001, 1, 2, 3,31,264,3,266,Win,268,1.5
001, 1, 2, 3,32,272,2,274,Loss,275,1.5
001, 1, 2, 3,33,279,2,282,Loss,283,2.5
001, 1, 2, 3,34,288,2,289,Loss,291,2.5
001, 1, 2, 3,35,296,3,297,Loss,300,2.0
001, 1, 2, 3,36,304,2,305,Win,308,4.0
001, 1, 2, 3,37,314,2,317,Win,318,1.5
001, 1, 2, 3,38,322,2,324,Win,325,2.0
001, 1, 2, 3,39,330,2,332,Win,333,1.5
001, 1, 2, 3,40,337,3,340,Loss,341,2.0
001, 1, 2, 3,41,345,3,348,Win,349,1.5
001, 1, 2, 3,42,353,2,354,Win,356,2.5
001, 1, 2, 3,43,361,NaN,NaN,Loss,365,5.0
001, 1, 2, 3,44,372,NaN,NaN,Loss,376,1.5
001, 1, 2, 3,45,380,3,381,Win,383,2.5
001, 1, 2, 3,46,388,NaN,NaN,Win,392,1.5
001, 1, 2, 3,47,396,3,398,Win,399,2.0
001, 1, 2, 3,48,404,3,406,Win,407,3.5
001, 1, 2, 3,49,413,2,414,Loss,417,1.5
001, 1, 2, 3,50,421,NaN,NaN,Loss,424,2.5
001, 1, 2, 3,51,429,NaN,NaN,Loss,433,2.5
001, 1, 2, 3,52,438,3,439,Loss,441,6.0
001, 1, 3, 4,53,456,2,458,Loss,459,1.5
001, 1, 3, 4,54,463,2,465,Win,467,1.5
001, 1, 3, 4,55,471,2,473,Win,474,4.0
001, 1, 3, 4,56,481,3,483,Win,484,3.5
001, 1, 3, 4,57,490,2,491,Win,494,1.5
001, 1, 3, 4,58,498,2,499,Loss,501,2.0
001, 1, 3, 4,59,506,NaN,NaN,Win,509,1.5
001, 1, 3, 4,60,513,NaN,NaN,Win,517,1.5
001, 1, 3, 4,61,521,3,521,Loss,524,3.5
001, 1, 3, 4,62,530,2,531,Loss,534,2.0
001, 1, 3, 4,63,538,2,538,Loss,542,2.0
001, 1, 3, 4,64,546,2,547,Loss,550,1.5
001, 1, 3, 4,65,554,2,556,Win,557,3.5
001, 1, 3, 4,66,563,3,566,Loss,567,2.0
001, 1, 3, 4,67,571,3,574,Loss,575,1.5
001, 1, 3, 4,68,579,2,580,Loss,582,2.5
001, 1, 3, 4,69,587,2,589,Win,591,3.0
001, 1, 3, 4,70,596,2,597,Loss,600,2.0
001, 1, 3, 4,71,604,2,605,Win,608,2.0
001, 1, 3, 4,72,612,2,613,Loss,616,1.5
001, 1, 3, 4,73,620,NaN,NaN,Loss,623,3.5
001, 1, 3, 4,74,629,2,630,Win,633,1.5
001, 1, 3, 4,75,637,2,637,Win,640,1.5
001, 1, 3, 4,76,644,2,646,Loss,648,3.5
001, 1, 3, 4,77,654,2,655,Win,657,3.5
001, 1, 3, 4,78,663,2,666,Win,667,5.5
